PLAYER COMMANDS (CCommand)
==========================

Every player action in the game is a command object, posted to the
game's own command queue. The path a mouse click takes. NOT a cheat:
the game still applies its own rules through CanExecute.

Addresses are relative to the image base. ARGS is how many arguments
the constructor takes; FIELDS lists offset:kind pairs on the object.


COMMAND                                        CTOR          VTABLE        ARGS  FIELDS
COrderSetParadropSourceCommand                 img+0x2202420 img+0x42BFA80 4     0x24:handle,0x2C:int,0x30:int,0x40:field0xc
COrderSetParadropTargetCommand                 img+0x2202EE0 img+0x42BFB58 4     0x24:handle,0x2C:int,0x30:int
COrderSetPathCommand                           img+0x21EFAB0 img+0x42BE3B8 4     0x24:ptr,0x2C:field0x244,0x40:field0x38
COrderSetTrainingCommand                       img+0x22034D0 img+0x42BFC30 4     0x24:handle
COrderUnassignCommand                          img+0x21EE320 img+0x42BE130 4     0x40:handle
CPassPeaceConferenceCommand                    img+0x25B8390 img+0x42D7280 1     0x24:deref
CPostHotJoinCommand                            img+0x2093A60 img+0x42B45E0 3     -
CProductionLineInterfaceFactoriesScaleCommand  img+0x1BE9650 img+0x4267B08 4     0x40:int
CProductionLineInterfaceToggleExpandAllCommand img+0x1BEA9F0 img+0x4267CB8 1     0x24:deref,0x28:bool
CProductionLineInterfaceToggleExpandCommand    img+0x1BEA040 img+0x4267BE0 4     0x40:bool
CPromoteAutonomyCommand                        img+0xA14A20  img+0x41AE2B0 1     0x24:deref
CPromoteToCountryLeaderCommand                 img+0x1BB20D0 img+0x42662F8 1     0x24:int
CPromoteUnitLeaderCommand                      img+0x23F50E0 img+0x42CB488 4     0x24:handle
CPrototypeRewardOptionCommand                  img+0x262EC00 img+0x42DBF00 4     0x24:handle,0x2C:int,0x30:int
CQueueUnitActionCommand                        img+0x23F5800 img+0x42CB710 4     0x24:field0x18,0x30:ptr
CRailwayGunManualOrderCommand                  img+0x2241880 img+0x42C1F70 4     0x40:field0xa4
CRailwayGunSetNameCommand                      img+0x2241EE0 img+0x42C2048 4     0x24:field0x18,0x30:ptr,0x38:ptr,0x40:ptr
CReadyAfterHotJoinCommand                      img+0x2094FC0 img+0x42B46B8 2     0x48:int
CRecruitOperativeCommand                       img+0x21A3A50 img+0x42BC288 4     0x24:deref,0x28:handle
CRecruitScientistCommand                       img+0x262D400 img+0x42DBAC8 4     0x24:handle,0x2C:deref
CReinstateExileCommand                         img+0x1C0E9B0 img+0x426B540 1     0x24:deref
CReleaseCountryCommand                         img+0x1BFFE90 img+0x426A610 4     0x24:deref,0x28:deref
CRemoveAdvisorCommand                          img+0x1BF9670 img+0x4269458 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CRemoveAllConstructionCommand                  img+0x1BEE570 img+0x4268600 4     -
CRemoveAllProductionLineCommand                img+0x1BE8DF0 img+0x4267958 1     0x24:deref
CRemoveAutonomyCommand                         img+0xA14C60  img+0x41AE388 1     0x24:deref
CRemoveBuildingLevelCommand                    img+0x1BEEF70 img+0x42686D8 4     0x24:field0x2b8,0x28:int,0x2C:bool,0x2D:bool
CRemoveConstructionCommand                     img+0x1BEE010 img+0x4268528 4     0x24:handle
CRemoveConveyorCommand                         img+0x20DB8D0 img+0x42B6890 4     0x24:handle
CRemoveConveyorLineCommand                     img+0x20DC290 img+0x42B6B18 4     0x24:handle
CRemoveDivisionTemplateCommand                 img+0x1EE5840 img+0x42AB818 4     0x24:handle
CRemoveFromArmyGroupCommand                    img+0x21E74D0 img+0x42BDC20 4     0x28:ptr
CRemoveIdeaCommand                             img+0x1BF9B50 img+0x4269530 4     -
CRemoveNavalInvasionTargetCommand              img+0x2200F00 img+0x42BF648 4     0x24:handle,0x2C:int,0x30:int
CRemovePlayerCommand                           img+0x201CE80 img+0x42B3200 3     0x24:int,0x28:int,0x38:handle
CRemoveProductionLineCommand                   img+0x1BE85F0 img+0x42677A8 4     0x24:handle
CRemoveShipRefitProductionLineCommand          img+0x1BE89E0 img+0x4267880 4     0x24:handle
CRemoveTaskForceTemplateCommand                img+0x2136DF0 img+0x42B9748 2     0x24:deref,0x30:handle,0x38:handle
CRenameAirGroupCommand                         img+0x22DE480 img+0x42C5A80 2     0x24:ptr,0x38:handle,0x40:handle
CRenameAirTheatreCommand                       img+0x22DE270 img+0x42C59A8 2     0x24:ptr,0x38:handle,0x40:handle
CRenameEquipmentVariantCommand                 img+0xCBE270  img+0x41E33F8 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CReopenLobbyCommand                            img+0x2095650 img+0x42B4940 0     -
CReorderAirTheatersCommand                     img+0x22DDF20 img+0x42C58D0 2     0x24:ptr,0x2C:int
CReorderNavyTheaterGroupCommand                img+0x23B1EF0 img+0x42C8E40 4     0x24:handle,0x2C:int
CReorderPinnedStrategicRegionCommand           img+0x2B7AA30 img+0x4310D98 2     0x24:field0xa0,0x28:field0xa0,0x2C:int
CReorderTemplateListCommand                    img+0x1EE6190 img+0x42AB9C8 4     0x24:handle,0x2C:int
CReorderTheatersCommand                        img+0x23B12F0 img+0x42C8AE0 4     0x24:handle,0x2C:int
CReorganizeShipsCommand                        img+0x2132290 img+0x42B8C50 4     0x40:field0x18
CReplaceAdvisorCommand                         img+0x1BFB290 img+0x42697B8 4     0x24:handle,0x2C:handle,0x38:ptr,0x40:handle
CReplaceBuildingCommand                        img+0x1BEF7B0 img+0x42687B0 4     0x4C:field0x2b8,0x50:int,0x54:bool,0x7C:deref
CReplaceIdeaCommand                            img+0x1BFA860 img+0x42696E0 4     0x24:deref,0x28:ptr,0x30:ptr,0x38:bool
CRequestExpeditionariesCommand                 img+0x1C06920 img+0x426AF58 4     0x24:deref,0x40:handle
CRequestGameStateSynchCommand                  img+0x2093030 img+0x42B4358 3     -
CRequestGameStateTransferCommand               img+0x2092CE0 img+0x42B4280 2     0x30:field0x28,0x38:field0x28,0x48:field0x98
CReserveOperativeForOperationCommand           img+0x21A3FC0 img+0x42BC360 4     0x24:deref,0x28:handle,0x30:int,0x34:int
CResetUnreadPrototypeRewardsCounterCommand     img+0x262F350 img+0x42DC188 4     0x24:handle
CRetireCharacterCommand                        img+0x1BFA2E0 img+0x4269608 4     0x24:handle
CSelectBookmarkCommand                         img+0x1F25480 img+0x42AC530 4     -
CSelectDecisionCommand                         img+0x1C04FD0 img+0x426ADA8 2     0x24:deref,0x28:ptr
CSelectEventOptionCommand                      img+0x2B74170 img+0x4310A50 4     0x24:int,0x28:handle,0x30:deref,0xE8:int
CSelectTargetedDecisionCommand                 img+0x1C05780 img+0x426AE80 3     0x24:deref,0x28:handle,0x2C:field0xc,0x30:ptr
CSelectionGroupCommand                         img+0x1C0E370 img+0x426B468 3     0x24:deref,0x40:int
CSendPingCommand                               img+0x2096D10 img+0x42B4CA0 4     0x38:field0x10,0x40:deref,0x48:ptr,0x50:bool
CSetAirWingNameCommand                         img+0x22DA1D0 img+0x42C5210 4     0x24:field0x18,0x30:field0x18,0x38:handle,0x40:handle
CSetAreaDefenseSettingCommand                  img+0x2202110 img+0x42BF9A8 4     0x24:handle,0x2C:int
CSetArmyFakeTemplateCommand                    img+0x23F09A0 img+0x42CAEA0 4     0x40:handle
CSetArmyLeaderCommand                          img+0x21FF3E0 img+0x42BF3C0 4     0x24:handle,0x2C:handle
CSetArmyLeaderPreferredTacticCommand           img+0x1C123B0 img+0x426BCD8 4     0x24:handle,0x30:ptr
CSetArmyTemplateCommand                        img+0x23EF370 img+0x42CADC8 4     0x40:handle
CSetAsReserveFleetCommand                      img+0x2130D00 img+0x42B8B78 4     0x24:handle,0x40:handle,0x58:handle,0x60:handle
CSetAutoUpgradedEquipmentVariantCommand        img+0xCC0CB0  img+0x41E3AB8 4     0x24:handle
CSetCarrierStickyMissionAreaCommand            img+0x22D9FD0 img+0x42C5138 4     0x24:handle
CSetContinuousFocusCommand                     img+0x1C044E0 img+0x426AB20 2     0x24:deref,0x28:ptr
CSetConveyorGroupCommand                       img+0x20DA2A0 img+0x42B61D0 4     0x24:handle,0x2C:field0x38,0x34:field0x244
CSetConveyorLocationCommand                    img+0x20D9320 img+0x42B60F8 4     0x24:handle,0x2C:int
CSetConveyorNameCommand                        img+0x20D9030 img+0x42B6020 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
